murder,negligent_manslaughter,forcible_sex,nonforcible_sex,robbery,aggravated_assault,burglary,vehicle_theft,arson,institute_id,location,year
0,0,0,0,0,0,0,0,0,107327004,noncampus,2016
,,,,,,,,,107327007,noncampus,2016
,,,,,,,,,107327008,noncampus,2016
,,,,,,,,,107327009,noncampus,2016
,,,,,,,,,107442001,noncampus,2016
,,,,,,,,,107460001,noncampus,2016
,,,,,,,,,107488001,noncampus,2016
0,0,0,0,0,0,0,0,0,107512001,noncampus,2016
,,,,,,,,,107512002,noncampus,2016
0,0,0,0,0,0,0,0,0,107521001,noncampus,2016
,,,,,,,,,107549001,noncampus,2016
,,,,,,,,,107549002,noncampus,2016
,,,,,,,,,107549003,noncampus,2016
,,,,,,,,,107549004,noncampus,2016
0,0,0,0,0,0,0,0,0,107558001,noncampus,2016
0,0,0,0,0,0,0,0,0,107585001,noncampus,2016
0,0,0,0,1,1,1,0,0,107600001,noncampus,2016
0,0,0,0,0,0,0,0,0,107619001,noncampus,2016
0,0,0,0,0,0,0,0,0,107619002,noncampus,2016
0,0,0,0,0,0,0,0,0,107619003,noncampus,2016
,,,,,,,,,107637001,noncampus,2016
,,,,,,,,,107655001,noncampus,2016
0,0,0,0,0,0,0,0,0,107664001,noncampus,2016
,,,,,,,,,107725001,noncampus,2016
,,,,,,,,,107725002,noncampus,2016
0,0,0,0,0,0,0,0,0,107743001,noncampus,2016
,,,,,,,,,107789001,noncampus,2016
,,,,,,,,,107831001,noncampus,2016
,,,,,,,,,107840001,noncampus,2016
0,0,0,0,0,0,0,0,0,107877001,noncampus,2016
0,0,0,0,0,0,2,0,0,107974001,noncampus,2016
,,,,,,,,,107983001,noncampus,2016
0,0,0,0,0,0,0,0,0,107992001,noncampus,2016
,,,,,,,,,108065001,noncampus,2016
0,0,0,0,0,0,2,0,0,108092001,noncampus,2016
,,,,,,,,,108232001,noncampus,2016
,,,,,,,,,108269001,noncampus,2016
,,,,,,,,,108348001,noncampus,2016
,,,,,,,,,108649001,noncampus,2016
0,0,0,0,0,0,0,0,0,108667001,noncampus,2016
0,0,0,0,0,0,0,0,0,108807001,noncampus,2016
,,,,,,,,,108807002,noncampus,2016
,,,,,,,,,108852001,noncampus,2016
,,,,,,,,,108861001,noncampus,2016
,,,,,,,,,108870001,noncampus,2016
,,,,,,,,,108977001,noncampus,2016
0,0,0,0,0,0,0,0,0,109040001,noncampus,2016
0,0,0,0,0,0,0,0,0,109086001,noncampus,2016
